campus,Building,Room ,RoomType,
INSTI,ITC,ITC-A108A,Meeting Room,
INSTI,ITC,ITC-A109,Meeting Room,
INSTI,ITC,ITC-A127G,Meeting Room,
INSTI,ITC,ITC-A168C,Meeting Room,
INSTI,ITC,ITC-A203,Meeting Room,
INSTI,ITC,ITC-A235,Meeting Room,
INSTI,ITC,ITC-A238,Meeting Room,
INSTI,ITC,ITC-A270D,Meeting Room,
INSTI,ITC,ITC-A270G,Meeting Room,
INSTI,ITC,ITC-A280,Multiple Configurations,
INSTI,ITC,ITC-A282.2,Meeting Room,
AKERL,AKE,AKE-A101A,Shop,
AKERL,AKE,AKE-A101B,Classroom,
AKERL,AKE,AKE-A101C,Shop,
AKERL,AKE,AKE-A103,Shop,
AKERL,AKE,AKE-A103A,Shop,
AKERL,AKE,AKE-A108,Shop,
AKERL,AKE,AKE-A150,Meeting Room,
AKERL,AKE,AKE-A155,Shop,
AKERL,AKE,AKE-A157A,Shop,
AKERL,AKE,AKE-A160,Shop,
AKERL,AKE,AKE-A206,Classroom,
AKERL,AKE,AKE-A208,Classroom,
AKERL,AKE,AKE-A209,Computer Lab,
AKERL,AKE,AKE-A210,Classroom,
AKERL,AKE,AKE-A212,Classroom,
AKERL,AKE,AKE-A214,Classroom,
AKERL,AKE,AKE-A215,Classroom,
AKERL,AKE,AKE-A217,Classroom,
AKERL,AKE,AKE-A252,Classroom,
AKERL,AKE,AKE-A253A,Computer Lab,
AKERL,AKE,AKE-A253B,Classroom,
AKERL,AKE,AKE-A254,Classroom,
AKERL,AKE,AKE-A255,Classroom,
AKERL,AKE,AKE-A256,Classroom,
AKERL,AKE,AKE-A257A,Classroom,
AKERL,AKE,AKE-A257B,Classroom,
AKERL,AKE,AKE-A258,Classroom,
AKERL,AKE,AKE-A259,Lab,
AKERL,AKE,AKE-A260,Classroom,
AKERL,AKE,AKE-A261,Classroom,
AKERL,AKE,AKE-A262,Classroom,
AKERL,AKE,AKE-A263,Classroom,
AKERL,AKE,AKE-A264,Classroom,
AKERL,AKE,AKE-B107,Classroom,
AKERL,AKE,AKE-B108,Shop,
AKERL,AKE,AKE-B109,Classroom,
AKERL,AKE,AKE-B110,Shop,
AKERL,AKE,AKE-B111,Shop,
AKERL,AKE,AKE-B113A,Shop,
AKERL,AKE,AKE-B150,Culinary,
AKERL,AKE,AKE-B153,Culinary,
AKERL,AKE,AKE-B154,Culinary,
AKERL,AKE,AKE-B155,Culinary,
AKERL,AKE,AKE-B158,Gymnasium,
AKERL,AKE,AKE-B162,Culinary,
AKERL,AKE,AKE-B170,Cafeteria,
AKERL,AKE,AKE-B171,Theater,
AKERL,AKE,AKE-B172,Culinary,
AKERL,AKE,AKE-B181,Culinary,
AKERL,AKE,AKE-B183,Culinary,
AKERL,AKE,AKE-B203,Lab,
AKERL,AKE,AKE-B204,Classroom,
AKERL,AKE,AKE-B206,Classroom,
AKERL,AKE,AKE-B207,Classroom,
AKERL,AKE,AKE-B208,Classroom,
AKERL,AKE,AKE-B209,Classroom,
AKERL,AKE,AKE-B210,Classroom,
AKERL,AKE,AKE-B212,Classroom,
AKERL,AKE,AKE-B250,Classroom,
AKERL,AKE,AKE-B252,Classroom,
AKERL,AKE,AKE-B254,Classroom,
AKERL,AKE,AKE-B256,Classroom,
AKERL,AKE,AKE-B258,Computer Lab,
AKERL,AKE,AKE-C100,Shop,
AKERL,AKE,AKE-C105,Shop,
AKERL,AKE,AKE-C174,Shop,
AKERL,AKE,AKE-C175,Shop,
AKERL,AKE,AKE-C177,Shop,
AKERL,AKE,AKE-C202,Classroom,
AKERL,AKE,AKE-C204,Classroom,
AKERL,AKE,AKE-C206,Classroom,
